"Protokół","Pakiety [%]","Pakiety","Bajty [%]","Bajtów","Bity/s","Krańcowych pakietów","Krańcowych bajtów","Krańcowych bitów/s"
"Frame",100,1697327,100,484099118,2990850.682041241,0,0,0
"IEEE 802.11 Radiotap Capture header",100,1697327,11.092239998669033,53697436,331752.3356538441,0,0,0
"802.11 radio information",100,1697327,0,0,0,0,0,0
"Malformed Packet",0.023566466567726783,400,0,0,0,400,0,0
"IEEE 802.11 wireless LAN",105.72747620228748,1794541,10.759129290543347,52084850,321789.4917679146,1132730,34219953,211416.97219425466
"Short Frame",0.07553052534956435,1282,0,0,0,1282,0,0
"Malformed Packet",0.9469006266912622,16072,0,0,0,16072,0,0
"Logical-Link Control",31.441731616830463,533669,73.3673245403434,355170571,2194307.1264102715,721,14334,88.55800823082505
"X.25",0.008483927964381643,144,0.00038896992991422887,1883,11.63350980177505,1,1454,8.983071296750358
"WiMax Mac to Mac Packet",0.00017674849925795088,3,0.0006323085265360884,3061,18.91140387850952,3,3061,18.91140387850952
"VMware Lab Manager",0.00011783233283863393,2,9.915324819905992e-6,48,0.2965525600027628,0,0,0
"Transparent Inter Process Communication(TIPC)",5.891616641931696e-5,1,0.00031068017769038777,1504,9.291980213419903,0,0,0
"Text item",0.0012961556612249732,22,0.00030778820795124853,1490,9.20548571675243,1,1490,9.20548571675243
"Systems Network Architecture XID",0.0005891616641931696,10,3.759560660881022e-5,182,1.1244284566771423,0,0,0
"Systems Network Architecture",0.05007874145641942,850,0.011095248473474806,53712,331.8423146430916,0,0,0
"Spanning Tree Protocol",0.014846873937667874,252,0.0038434277833160604,18606,114.95118607107095,252,18606,114.95118607107095
"Roofnet Protocol",0.011076239286831588,188,0.02915270752466027,141128,871.9139518347898,0,0,0
"Remote Program Load",0.009132005794994128,155,0.0005783939478278496,2800,17.2988993334945,154,2538,15.680216610146084
"PROFINET Real-Time Protocol",5.891616641931696e-5,1,0.0002989057294667494,1447,8.939824048416622,0,0,0
"PROFINET IO",5.891616641931696e-5,1,0.00029766631386426117,1441,8.902754978416276,1,1441,8.902754978416276
"Precision Time Protocol (IEEE1588)",5.891616641931696e-5,1,0.00029931886800091216,1449,8.952180405083404,1,1449,8.952180405083404
"Link Layer Discovery Protocol",0.0009426586627090714,16,0.0004897757322499397,2371,14.648460828469807,16,2371,14.648460828469807
"ISO 8473/X.233 CLNP ConnectionLess Network Protocol",0.0005891616641931696,10,2.0656926708137486e-6,10,0.06178178333390892,0,0,0
"ISO 10589 ISIS InTRA Domain Routeing Information Exchange Protocol",5.891616641931696e-5,1,0.00030944076208789953,1498,9.254911143419557,0,0,0
"Internetwork Packet eXchange",0.0004713293313545357,8,4.9576624099529964e-5,240,1.4827628000138142,0,0,0
"Internet Protocol Version 6",0.03823659200613671,649,0.0053625381734324915,25960,160.38550953482758,1,40,0.24712713333563568
"User Datagram Protocol",0.021445484576631375,364,0.0006015297057409636,2912,17.990855306834277,0,0,0
"Multicast Domain Name System",0.020856322912438205,354,0.012979366758524026,62833,388.19347922194993,340,56023,346.12008477155797
"Link-local Multicast Name Resolution",0.00023566466567726785,4,2.4788312049764982e-5,120,0.7413814000069071,4,120,0.7413814000069071
"DHCPv6",0.00017674849925795088,3,5.8872241118191834e-5,285,1.7607808250164043,3,285,1.7607808250164043
"Internet Control Message Protocol v6",0.015436035601861044,262,0.0013228695863891245,6404,39.565054047035275,258,6184,38.20585481368928
"Internet Control Message Protocol",5.891616641931696e-5,1,0.0002966334675288543,1436,8.871864086749321,1,1436,8.871864086749321
"Datagram Congestion Control Protocol",5.891616641931696e-5,1,0.00029208894365306403,1414,8.735944163414722,0,0,0
"Internet Protocol Version 4",25.798800113354705,437890,1.8080096977164912,8752559,54074.870375525454,653,7019,43.36463372207067
"Xpress Transport Protocol",5.891616641931696e-5,1,0.0003048962382121093,1476,9.118991220084958,1,1476,9.118991220084958
"User Datagram Protocol",4.139332020288371,70258,0.11610452882502463,562061,3472.5130922440185,464,3712,22.93339797354699
"Xyplex",5.891616641931696e-5,1,1.652554136650999e-5,80,0.49425426667127137,1,80,0.49425426667127137
"Simple Service Discovery Protocol",0.016850023595924652,286,0.008013854716421938,38795,239.68242844389968,286,38795,239.68242844389968
"Service Location Protocol",5.891616641931696e-5,1,0.00027886851055985604,1350,8.340540750077706,0,0,0
"Network Time Protocol",0.001472904160482924,25,0.00024788312049764985,1200,7.41381400006907,25,1200,7.41381400006907
"NetBIOS Name Service",0.00035349699851590176,6,7.31255205468067e-5,354,2.187075130020376,6,354,2.187075130020376
"Multicast Domain Name System",0.03063640653804482,520,0.01390376422871318,67308,415.8408272638742,513,65826,406.6847669737889
"Mikrotik Neighbor Discovery Protocol",0.0007069939970318035,12,0.0003844254060384386,1861,11.49758987844045,12,1861,11.49758987844045
"Link-local Multicast Name Resolution",0.00023566466567726785,4,2.4788312049764982e-5,120,0.7413814000069071,4,120,0.7413814000069071
"GQUIC (Google Quick UDP Internet Connections)",0.17592367292808045,2986,0.4874342696075724,2359665,14578.43117706082,2984,2356965,14561.750095560665
"Domain Name System",1.1848041066924642,20110,0.4164126570459895,2015850,12454.28079336603,19704,1961403,12117.897517647896
"Canon BJNP",0.00011783233283863393,2,6.610216546603995e-6,32,0.19770170666850856,2,32,0.19770170666850856
"Bootstrap Protocol",0.038884669836749194,660,0.04089658349677059,197980,1223.155746444729,649,194582,1202.1622964678666
"Transmission Control Protocol",18.127679580893957,307686,61.859507044175196,299461328,1850125.4883380635,248847,233643418,1443490.7028269917
"Secure Sockets Layer",2.9981847929126206,50889,19.5952680913581,94860520,586065.2093581934,49303,87586252,541123.4844093147
"Unreassembled Fragmented Packet",5.891616641931696e-5,1,0,0,0,1,0,0
"Point-to-Point Tunnelling Protocol",5.891616641931696e-5,1,0.0002974597445971798,1440,8.896576800082885,1,1440,8.896576800082885
"Network Time Protocol",5.891616641931696e-5,1,0.00029291522072138955,1418,8.760656876748286,1,1418,8.760656876748286
"Hypertext Transfer Protocol",0.07146530986663148,1213,1.259698019115168,6098187,37675.686796366004,845,1150469,7107.802649037886
"Portable Network Graphics",0.00035349699851590176,6,0.0058161642839431905,28156,173.95278915495396,5,30232,186.77868737507345
"Online Certificate Status Protocol",0.0021209819910954107,36,0.0033778206553146417,16352,101.02557210760787,33,14963,92.44408240252793
"Media Type",0.003004724487385165,51,0.8528771994168352,4128771,25508.283535732648,51,1537213,9497.176050406813
"Line-based text data",0.006834275304640767,116,0.5226384238113815,2530088,15631.334863172297,115,844227,5215.784959863593
"JPEG File Interchange Format",0.004831125646383991,82,0.4734827878781634,2292126,14161.163190601932,81,2299318,14205.596649175679
"JavaScript Object Notation",0.0010604909955477053,18,0.035267984107337294,170732,1054.8127432164938,6,31760,196.21894386849473
"HTML Form URL Encoded",0.0011194071619670223,19,0.004234876544435266,20501,126.65883401284668,18,37356,230.79202982215017
"eXtensible Markup Language",0.00011783233283863393,2,0.0009066325132201542,4389,27.116024705252627,2,3132,19.350054540180274
"Compuserve GIF",0.001649652659740875,28,0.006051240109881795,29294,180.9835560983528,28,30757,190.0222310001037
"GSM over IP protocol as used by ip.access",5.891616641931696e-5,1,0.0002974597445971798,1440,8.896576800082885,0,0,0
"Radio Signalling Link (RSL)",5.891616641931696e-5,1,0.00029684003679593564,1437,8.878042265082712,1,1437,8.878042265082712
"Gopher",0.0021209819910954107,36,0.0002586247223858813,1252,7.735079273405397,36,1252,7.735079273405397
"EtherCAT frame header",5.891616641931696e-5,1,4.131385341627497e-7,2,0.012356356666781785,0,0,0
"TwinCAT IO-RAW",5.891616641931696e-5,1,0.0002662677852678922,1289,7.9636718717408606,1,1289,7.9636718717408606
"Shim6 Protocol",5.891616641931696e-5,1,0.000295394051926366,1430,8.834795016748975,0,0,0
"Resource ReserVation Protocol (RSVP)",0.0006480778306124866,11,0.0013381557121531463,6478,40.0222392437062,0,0,0
"Pragmatic General Multicast",0.00023566466567726785,4,0.00043462173793921266,2104,12.998887213454438,3,683,4.21969580170598
"Open Shortest Path First",0.00017674849925795088,3,0.0006112384612937882,2959,18.28122968850365,3,2959,18.28122968850365
"Novell Cluster Services",0.00011783233283863393,2,0.0006114450305608695,2960,18.287407866837043,2,2960,18.287407866837043
"NBMA Next Hop Resolution Protocol",0.00035349699851590176,6,0.001103286455481623,5341,32.99765047864076,0,0,0
"MultiProtocol Label Switching Header",0.0004713293313545357,8,6.610216546603995e-6,32,0.19770170666850856,0,0,0
"PW Ethernet Control Word",5.891616641931696e-5,1,8.262770683254994e-7,4,0.02471271333356357,0,0,0
"PW Associated Channel Header",5.891616641931696e-5,1,8.262770683254994e-7,4,0.02471271333356357,0,0,0
"Mobile IPv6",0.00011783233283863393,2,2.0656926708137484e-5,100,0.6178178333390892,0,0,0
"Lightweight User Datagram Protocol",0.00011783233283863393,2,3.3051082733019975e-6,16,0.09885085333425428,0,0,0
"Layer 2 Tunneling Protocol",0.00011783233283863393,2,0.0003084079157524927,1493,9.224020251752602,0,0,0
